"model","academic_year","region","campus","grade","persistence","persistence_type","persistence_type_display","grouped_by","grouped_by_display","level_1","level_2","level_3","level_4","level_5","level"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","3",73.8317757,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","4",78.5714286,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","7",82.3529412,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","8",65.7894737,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","5",79.8387097,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","6",78.7878788,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","9",73.3944954,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","K",77.6699029,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","10",81.8181818,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","11",85.1851852,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","1",73.5849057,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs","2",74.6031746,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,81.683234509621,84.29,86.896765490379,89.503530980758,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","K",74.3589744,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","1",70,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","2",76.9230769,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","5",73.6842105,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","6",73.4375,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","9",72,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","3",69.6428571,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","4",76.7857143,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","7",83.1168831,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions","8",63.6363636,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.525977452219,78.12,80.714022547781,83.308045095562,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","3",83.0508475,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","4",78.3333333,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","7",75.8928571,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","8",61.2612613,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","1",81.7460317,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","2",75.6521739,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","5",79.5275591,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","6",85.9375,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,5
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","9",84.7619048,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,4
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","10",81.1320755,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle","K",75.8928571,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","1",76.2711864,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","2",89.8305085,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,3
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","5",82.3529412,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","6",87.9032258,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,2
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","9",82.5,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","K",79.6610169,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","3",82.6446281,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis","4",86.2903226,"FDOP","First Day of Persistience","academic_year | persistence_type | region | campus","Campuses",0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,1
