"model","academic_year","region","campus","grade","grouped_by","persistence_type","count","level_1","level_2","level_3","level_4","level_5","count_level_1","percent_level_1","count_level_2","percent_level_2","count_level_3","percent_level_3","count_level_4","percent_level_4","count_level_5","percent_level_5","grouped_by_display","persistence_type_display"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs",NA,"academic_year | persistence_type | region | campus","FDOP",12,0,81.683234509621,84.29,86.896765490379,89.503530980758,9,0.75,2,0.166666666666667,1,0.0833333333333333,0,0,0,0,"Campuses","First Day of Persistience"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Bluff Springs",NA,"academic_year | persistence_type | region | campus","LDOS",12,0,82.3812723195824,84.29,86.1987276804176,88.1074553608352,1,0.0833333333333333,1,0.0833333333333333,3,0.25,4,0.333333333333333,3,0.25,"Campuses","Last Day of School"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions",NA,"academic_year | persistence_type | region | campus","FDOP",10,0,75.525977452219,78.12,80.714022547781,83.308045095562,7,0.7,2,0.2,0,0,1,0.1,0,0,"Campuses","First Day of Persistience"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Health Professions",NA,"academic_year | persistence_type | region | campus","LDOS",10,0,75.5053613080854,78.12,80.7346386919146,83.3492773838292,2,0.2,0,0,3,0.3,0,0,5,0.5,"Campuses","Last Day of School"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle",NA,"academic_year | persistence_type | region | campus","FDOP",11,0,75.3560140583278,78.72,82.0839859416722,85.4479718833445,1,0.0909090909090909,4,0.363636363636364,3,0.272727272727273,2,0.181818181818182,1,0.0909090909090909,"Campuses","First Day of Persistience"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Kyle",NA,"academic_year | persistence_type | region | campus","LDOS",11,0,76.8567766842679,78.72,80.5832233157321,82.4464466314642,0,0,0,0,0,0,0,0,11,1,"Campuses","Last Day of School"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis",NA,"academic_year | persistence_type | region | campus","FDOP",12,0,86.4826202835551,88.76,91.0373797164449,93.3147594328898,9,0.75,2,0.166666666666667,1,0.0833333333333333,0,0,0,0,"Campuses","First Day of Persistience"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Montopolis",NA,"academic_year | persistence_type | region | campus","LDOS",12,0,87.3522984679352,88.76,90.1677015320648,91.5754030641297,2,0.166666666666667,1,0.0833333333333333,2,0.166666666666667,0,0,7,0.583333333333333,"Campuses","Last Day of School"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park",NA,"academic_year | persistence_type | region | campus","FDOP",10,0,78.2754080048927,81.16,84.0445919951073,86.9291839902145,8,0.8,2,0.2,0,0,0,0,0,0,"Campuses","First Day of Persistience"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Parmer Park",NA,"academic_year | persistence_type | region | campus","LDOS",10,0,78.3425547999532,81.16,83.9774452000468,86.7948904000936,2,0.2,1,0.1,1,0.1,3,0.3,3,0.3,"Campuses","Last Day of School"
"Level 2/4/5 Goal +/- SPR SD","2022-2023","Austin","Pflugerville",NA,"academic_year | persistence_type | region | campus","FDOP",11,0,77.7418277671193,80.34,82.9381722328807,85.5363444657614,10,0.909090909090909,1,0.0909090909090909,0,0,0,0,0,0,"Campuses","First Day of Persistience"
