"","academic_year","region","campus","grade","grouped_by","count","goal","percent_met","persistence_mean","persistence_min","persistence_max","persistence_median","persistence_sd"
"1","2022-2023","Austin","Bluff Springs",NA,"academic_year | region | campus",12,84.29,83.3333333333333,86.098065389645,75.4966887417219,90.9090909090909,86.6720118416184,3.81745536083515
"2","2022-2023","Austin","Health Professions",NA,"academic_year | region | campus",10,78.12,80,82.1633866945739,74.6666666666667,88.6075949367089,82.4199507389163,5.22927738382919
"3","2022-2023","Austin","Kyle",NA,"academic_year | region | campus",11,78.72,100,89.7228028963679,83.0357142857143,93.3962264150943,91.40625,3.72644663146419
"4","2022-2023","Austin","Montopolis",NA,"academic_year | region | campus",12,88.76,75,90.9647416836601,86.4406779661017,94.6153846153846,91.9979514755778,2.81540306412967
"5","2022-2023","Austin","Parmer Park",NA,"academic_year | region | campus",10,81.16,70,84.5312255604097,76.5765765765766,91.2,84.8833333333333,5.6348904000936
"6","2022-2023","Austin","Pflugerville",NA,"academic_year | region | campus",11,80.34,90.9090909090909,85.8571803511999,77.7777777777778,90.9090909090909,86.2385321100917,3.77827882537255
"7","2022-2023","Austin","Round Rock Tech",NA,"academic_year | region | campus",9,80.62,55.5555555555556,82.0142799001846,74.0157480314961,89.1472868217054,83.3333333333333,4.86323077880536
"8","2022-2023","Austin","Rundberg",NA,"academic_year | region | campus",12,87.68,75,89.6145864777408,80.9523809523809,96.2406015037594,89.4924903100775,4.71817620382416
"9","2022-2023","El Paso","Edgemere",NA,"academic_year | region | campus",12,83.43,58.3333333333333,84.3034111997555,76.1194029850746,92,84.1494701617401,4.35004523081919
"10","2022-2023","El Paso","Horizon Vista",NA,"academic_year | region | campus",9,83.37,66.6666666666667,82.8254481233603,62.7118644067797,90.1515151515152,87.4015748031496,9.0937861016244
"11","2022-2023","El Paso","Mesa Hills",NA,"academic_year | region | campus",10,73.71,90,82.7990500206448,59.0551181102362,90.3225806451613,84.0472281243964,8.93941251168604
"12","2022-2023","El Paso","Mesquite Hills",NA,"academic_year | region | campus",7,81.86,42.8571428571429,81.6544776158223,74.390243902439,92,79.5454545454545,6.51794440889735
"13","2022-2023","El Paso","Rio Vista",NA,"academic_year | region | campus",12,79.26,100,91.3001458671091,85.3658536585366,95.5357142857143,92.6326499849261,3.51625536605259
"14","2022-2023","Greater Houston Area","Hardy",NA,"academic_year | region | campus",9,79.98,33.3333333333333,78.247524165776,71.6417910447761,80.5755395683453,79.1044776119403,2.83583109826759
"15","2022-2023","Greater Houston Area","Lake Houston",NA,"academic_year | region | campus",7,77.61,100,93.0038124305681,89.1304347826087,100,90.6976744186047,4.04441424786666
"16","2022-2023","Greater Houston Area","Spears",NA,"academic_year | region | campus",10,79.97,60,81.0966311960453,63.0434782608696,100,81.9868051049102,11.0488171319009
"17","2022-2023","Permian Basin","Travis",NA,"academic_year | region | campus",10,89.25,100,93.1780189106784,89.8989898989899,95.6140350877193,93.009768009768,1.64030352035999
"18","2022-2023","Permian Basin","Yukon",NA,"academic_year | region | campus",6,87.23,100,93.6092289820362,91.6666666666667,95.3488372093023,93.6503937007874,1.54753460395799
"19","2022-2023","Rio Grande Valley","Alamo",NA,"academic_year | region | campus",13,89.76,76.9230769230769,93.0329093293964,85.7142857142857,97.5,93.4065934065934,3.65343395758983
"20","2022-2023","Rio Grande Valley","Brownsville",NA,"academic_year | region | campus",13,88.95,100,93.8573768639165,89.4736842105263,100,93.7984496124031,2.83195885551793
"21","2022-2023","Rio Grande Valley","Donna",NA,"academic_year | region | campus",13,89.62,92.3076923076923,94.8196394321841,87.4015748031496,99.1525423728814,94.6428571428571,3.04219082889783
"22","2022-2023","Rio Grande Valley","Edinburg",NA,"academic_year | region | campus",13,87.8,92.3076923076923,92.6535783604301,81.7518248175183,97.5308641975309,94.0298507462687,4.22840112853157
"23","2022-2023","Rio Grande Valley","Elsa",NA,"academic_year | region | campus",12,91.4,83.3333333333333,92.8968047714639,83.7837837837838,96.8503937007874,93.0807577268195,3.89029325440935
"24","2022-2023","Rio Grande Valley","Frontier",NA,"academic_year | region | campus",13,90.24,92.3076923076923,93.9243856738258,88.8888888888889,99.0291262135922,94.4,2.78924653615702
"25","2022-2023","Rio Grande Valley","Harlingen",NA,"academic_year | region | campus",10,87.8,50,87.3978759383647,77.2727272727273,100,87.7666666666667,6.26012065449875
"26","2022-2023","Rio Grande Valley","La Joya",NA,"academic_year | region | campus",9,90,88.8888888888889,96.1097121167019,89.3617021276596,100,96.4285714285714,3.79882180507167
"27","2022-2023","Rio Grande Valley","Los Encinos",NA,"academic_year | region | campus",11,90,100,96.5460102959216,93.75,100,95.9677419354839,1.8746521407364
"28","2022-2023","Rio Grande Valley","McAllen",NA,"academic_year | region | campus",13,89.02,100,93.4575278830408,89.2156862745098,99.0291262135922,94,2.98200631738632
"29","2022-2023","Rio Grande Valley","Mission",NA,"academic_year | region | campus",13,87.84,76.9230769230769,91.0272317377901,85.0877192982456,95.7894736842105,91.3793103448276,3.54003842698547
"30","2022-2023","Rio Grande Valley","North Mission",NA,"academic_year | region | campus",13,89.16,76.9230769230769,93.2650418359231,88.4297520661157,98.6486486486486,94.1666666666667,3.17545155226962
"31","2022-2023","Rio Grande Valley","Owassa",NA,"academic_year | region | campus",12,88.64,100,95.80537059859,93.4065934065934,98.3606557377049,96.0584554334554,1.68041643340564
"32","2022-2023","Rio Grande Valley","Palmview",NA,"academic_year | region | campus",10,89.25,40,89.4003259756593,84.8484848484848,100,88.9452815226011,4.16507290708992
"33","2022-2023","Rio Grande Valley","Pharr",NA,"academic_year | region | campus",14,90,92.8571428571429,90.6041678891642,25,100,95.4508196721311,19.0161040240238
"34","2022-2023","Rio Grande Valley","Quest",NA,"academic_year | region | campus",13,88.24,46.1538461538462,86.9187101168875,75.8064516129032,96.5116279069768,88,5.73398381952814
